year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2010,08,SOMMERVILLE RESIDENCES,SOMMERVILLE WALK,Realty land Pte Ltd,Strata-Landed,OCR,9,9,6,3,2,3,"5,931","5,823","6,006"
2010,08,SOPHIA RESIDENCE,SOPHIA ROAD,Sophia Residence Development Pte Ltd,Non-Landed,CCR,272,272,267,5,0,0,-,-,-
2010,08,SOUTHBANK,NORTH BRIDGE ROAD,Kings & Queens Development Pte Ltd,Non-Landed,RCR,197,197,197,0,0,0,-,-,-
2010,08,SOVEREIGN @ SIMON,SIMON PLACE,Fragrance Land Pte Ltd,Strata-Landed,OCR,23,23,23,0,0,0,-,-,-
2010,08,SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,UOL Development (Dakota)  Pte Ltd,Non-Landed,RCR,351,0,0,0,0,0,-,-,-
2010,08,SPRING @ LANGSAT,LANGSAT ROAD,Singbuilders Pte Ltd,Non-Landed,RCR,26,26,26,0,0,0,-,-,-
2010,08,ST MICHAEL REGENCY,ST. MICHAEL'S ROAD,Evan Lim Industrial/Warehousing Development Pte Ltd,Non-Landed,RCR,49,49,34,15,0,3,"9,924","9,526","10,011"
2010,08,ST PATRICK'S RESIDENCES,ST. PATRICK'S ROAD,T G (St. Patrick) Pte Ltd,Non-Landed,OCR,102,102,70,32,0,1,"11,345","11,345","11,345"
2010,08,ST THOMAS SUITES,ST THOMAS WALK,FCL Tower Pte Ltd,Non-Landed,CCR,176,176,176,0,0,0,-,-,-
2010,08,STARLIGHT SUITES,RIVER VALLEY CLOSE,Meadows Property (S) Pte Ltd,Non-Landed,CCR,105,105,33,72,73,1,"21,765","21,765","21,765"
2010,08,STEVENS SUITES,STEVENS CLOSE,EL Development (Stevens) Pte Ltd,Non-Landed,CCR,32,16,14,2,7,6,"20,936","17,438","21,399"
2010,08,STILLZ RESIDENCE,STILL ROAD,Warees Land Pte Ltd,Non-Landed,RCR,25,25,17,8,0,1,"9,558","9,558","9,558"
2010,08,STRAITS RESIDENCES,JOO CHIAT PLACE,Roxy Land Pte Ltd,Non-Landed,RCR,30,30,26,4,5,5,"13,132","10,441","13,455"
2010,08,STUDIOS @ MARNE,MARNE ROAD,Vyco Pte Ltd,Non-Landed,RCR,46,46,41,5,0,1,"14,112","14,112","14,112"
2010,08,STUDIOS@TEMBELING,TEMBELING ROAD,Roxy Land Pte Ltd,Non-Landed,RCR,25,25,22,3,25,22,"14,413","9,795","15,328"
2010,08,SUI GENERIS,BALMORAL CRESCENT,Balmoral Development Pte Ltd,Non-Landed,CCR,40,40,40,0,0,0,-,-,-
2010,08,SUITES 123,RANGOON ROAD,Macly Assets Pte Ltd,Non-Landed,RCR,37,37,37,0,0,0,-,-,-
2010,08,SUITES @ AMBER,AMBER ROAD,Macly Pte Ltd,Non-Landed,RCR,28,28,28,0,0,0,-,-,-
2010,08,SUITES @ CAIRNHILL,ANTHONY ROAD,Hoi Hup Realty Pte Ltd,Non-Landed,CCR,48,48,48,0,0,0,-,-,-
2010,08,SUITES @ GUILLEMARD,LIM AH WOO ROAD,Oxley Land Pte Ltd,Non-Landed,RCR,72,72,72,0,0,0,-,-,-
2010,08,SUITES @ KATONG,TANJONG KATONG ROAD,Oxley Wealth Pte Ltd,Non-Landed,RCR,51,51,51,0,0,0,-,-,-
2010,08,SUITES @ KOVAN,UPPER SERANGOON ROAD,TSL Capital Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2010,08,SUITES @ OWEN,OWEN ROAD,Macly Pte Ltd,Non-Landed,RCR,20,20,20,0,0,0,-,-,-
2010,08,SUITES @ SHREWSBURY,SHREWSBURY ROAD,Macly Capital Pte Ltd,Non-Landed,CCR,15,15,15,0,0,0,-,-,-
2010,08,SUITES @ TOPAZ,TOPAZ ROAD,Goodland Development Pte Ltd,Non-Landed,RCR,46,46,41,5,46,41,"12,949","11,216","13,154"
2010,08,SUITES AT ORCHARD,HANDY ROAD,Allgreen Properties Ltd,Non-Landed,CCR,118,0,0,0,0,0,-,-,-
2010,08,SUITES DE LAUREL,JALAN ANAK BUKIT,Sustained Land Pte Ltd,Non-Landed,RCR,72,72,44,28,0,7,"13,832","11,550","15,393"
